seller_id,seller_zip_code_prefix,seller_city,seller_state
d6cd01c59123df02fc226eadbadb5f89,1207,sao paulo,SP
c13ef0cfbe42f190780f621ce81f2234,1207,sao paulo sp,SP
8f2ce03f928b567e3d56181ae20ae952,5141,pirituba,SP
0b18d63d0cd1d723567903fd34a07df2,5141,sp,SP
b64d51f0435e884e8de603b1655155ae,7077,garulhos,SP
72c5da29406b4234927b81855e7b64f6,7077,guarulhos,SP
596849622429351f47b32e6cae1055ff,8710,mogi das cruses,SP
a7c88262832dfc683781d6a421edefae,8710,mogi das cruzes,SP
ff1fb4c404b2efe68b03350a8dc24122,8710,mogi das cruzes,SP
bc07d855eac23aab5ac8a120f21d16b2,8710,mogi das cruzes,SP
01ed254b9ff8407dfb9d99ba1e17d923,8710,mogi das cruzes,SP
ca4b77513ac2040591b0d8fae6958380,9190,sando andre,SP
d4910f1cdcfdabd48d6b316e395d4a23,9190,santo andre,SP
334cab711dee080b079fa5779b584783,9190,santo andre,SP
4bcec44888b30ba9001234c534716d3f,9230,santo andre,SP
b6d44737c043328708f6749c2dbe50bd,9230,santo andre,SP
40d54b51e962dbe09cabbcfd33298dee,9230,santo andre,SP
f52c2422904463fdd7741f99045fecb6,9230,santo andre/sao paulo,SP
fc0b214b59a83615fea981c6424a02ae,9380,maua,SP
89dda63a3c907c468ec88c310ed91213,9380,maua/sao paulo,SP
d97df38225e5abadaff1e72cb72b823c,9560,sao caetano do sul,SP
2a73cba571d90c694b7caca072ccf6ce,9560,sao caetano do sul,SP
b248792ac0b60ec3f93d80af1b4fae47,9560,sao caetano do sul,SP
20b54c376b794ed028df09a3cd88e8dc,9560,sao caetano do sul,SP
df91910b6a03bb2e3358fa6a35e32f6f,9560,sao paulo,SP
0ddefe3c7a032b91f4e25b9c3a08fca1,9721,sao bernardo do campo,SP
a3b0df0065e264a91b7bbf5f844af5cd,9721,sao bernardo do capo,SP
e8dba4d70f7f2b20e775d09cae01142d,13456,santa barbara d oeste,SP
20f0aeea30bc3b8c4420be8ced4226c0,13456,santa barbara d'oeste,SP
54a1852d1b8f10312c55e906355666ee,13456,santa barbara d'oeste,SP
f88adb15807168d3c43d71021090ce4a,13660,porto ferreira,SP
f5f2ab9bdb6b30c14c61be68c5ed37da,13660,porto ferreira,SP
23613d49c3ac2bd302259e55c06c050c,13660,porto ferreira,SP
2a261b5b644fa05f4f2700eb93544f2c,13660,porto ferreira,SP
ec4608a1f76453166bb312b2968aeaf4,13660,porto ferreira,SP
0dfbed20065e425d2eaefb101f9816c0,13660,porto ferreira,SP
20611af7866c6068fd5ae1f9dbe15c92,13660,porto ferreira,SP
babcc0ab201e4c60188427cae51a5b8b,13660,porto ferreira,SP
c3251e13f1bbda6c74e37c160f991e19,13660,porto ferreira,SP
4e42581f08e8cfc7c090f930bac4552a,13660,portoferreira,SP
4324dd16853115efb0fd9d0d131ba6f4,13720,sao jose do rio pardo,SP
63b9ae557efed31d1f7687917d248a8d,13720,sao jose do rio pardo,SP
3078096983cf766a32a06257648502d1,13720,scao jose do rio pardo,SP
ad87df7699e83b8a91822a4a0b765c3a,13820,jaguariuna,SP
db7ed69a53aa9fb1c01930ba54a88bbe,13820,jaguariuna,SP
52a50b42accf164f9f019941e5759d9b,13820,monte alegre do sul,SP
bd15ee794d5e640d9dd71b665b2ab15b,14078,ribeirao preto,SP
24a6daf925d9d591870a66660416de31,14078,robeirao preto,SP
28d162ab86bb49d719c32f0ee6186eaa,14079,ribeirao preto,SP
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP
2cb98e27ce1c18abdb42209b34c382a7,14085,ribeirao preto,SP
ebe3dabc4955c9b0d695e7bda38bf5c3,14085,ribeirao preto,SP
11bfa66332777660bd0640ee84d47006,14085,ribeirao preto,SP
17e34d8224d27a541263c4c64b11a56b,14085,riberao preto,SP
3076499bbc033a927bf4a8a41bcf7fd4,15350,auriflama,SP
c3aad7dc65449ae90a5e9c3c6c1e78e0,15350,auriflama/sp,SP
7aa4334be125fcdd2ba64b3180029f14,18500,laranjal paulista,SP
af7cdac9d9897cddead9c6b08976c642,18500,laranjal paulista,SP
8fec2e460530482132c436cfb5439925,18500,laranjal paulista,SP
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
ceb7b4fb9401cd378de7886317ad1b47,22790,04482255,RJ
e45edf75f568ed2f93f78d060e246e25,22790,rio de janeiro,RJ
a13580f0e8f782b7a543885a0ef99f08,22790,rio de janeiro,RJ
7a425d299613df3e613bcf9d2eaf5c49,22790,rio de janeiro,RJ
33ab10be054370c254ddfcf0a6253422,22790,rio de janeiro,RJ
373ee4a3a775a733770ca3f790b8b9ac,22793,rio de janeiro,RJ
bab0a8cd684e41ba6e2637dca0979d3b,22793,rio de janeiro,RJ
4342d4b2ba6b161468c63a7e7cfce593,22793,rio de janeiro,RJ
f9eedec3129e8cc6b6429c42d0808c5b,22793,"rio de janeiro, rio de janeiro, brasil",RJ
